,shortest_processing_first,earliest_deadline_first,smallest_slack
956000,978779,2138552,1720464
957000,950563,1417833,1713844
958000,943032,1430220,1773967
959000,1023921,1393426,2495595
960000,967264,985646,1798907
961000,967223,987150,1802593
962000,1046074,997739,1954368
963000,1507600,947497,2121505
964000,974469,946596,2469044
965000,1020195,931582,2524786
966000,1081364,1033586,1721071
967000,1030438,974950,1730633
968000,1369166,1027471,2187544
969000,1234462,1496173,1752750
970000,1734208,1030953,1693730
971000,2117522,944138,1708134
972000,1201240,1022009,1649972
973000,2252121,983301,2066937
974000,2224554,955917,3047755
975000,2258639,1233245,2682049
976000,1724102,1092629,1733002
977000,1036289,1204648,2318354
978000,1027601,2187669,3481436
979000,1076606,1433243,2085869
980000,1024819,1548188,2747922
981000,949704,1286588,3476171
982000,1014476,1036467,2077521
983000,1860241,1076461,1683279
984000,1769623,1053729,1732340
985000,961249,2410233,2115232
986000,1015650,1712548,1764930
987000,967045,945327,1696181
988000,965818,946072,1760204
989000,978698,972088,1693437
990000,949256,1147559,2555739
991000,995337,941018,2038290
992000,2112759,1668641,1791367
993000,1538774,1944308,1870631
994000,1098706,950044,2103728
995000,1090786,930485,1961297
996000,2129752,929616,3423391
997000,2624799,932095,3717050
998000,2002686,1053817,3546620
999000,2080575,938480,2597917
