,shortest_processing_first,earliest_deadline_first,smallest_slack
261000,518531,510429,904268
262000,513498,510239,892891
263000,516031,511245,903095
264000,512085,517200,896202
265000,512264,511527,892258
266000,543457,511501,927726
267000,518582,538006,898137
268000,515461,517220,892068
269000,517873,509255,891373
270000,514704,512611,892666
271000,512986,493043,921183
272000,513463,495793,899141
273000,516462,493333,888965
274000,514266,497639,892434
275000,514521,498385,895093
276000,539863,492698,895796
277000,518630,584434,921388
278000,515587,520199,894655
279000,513425,514240,894135
280000,513603,518701,892483
281000,512316,510972,896755
282000,514545,509843,919766
283000,514194,509118,893465
284000,515164,521326,893869
285000,510565,527501,893410
286000,542728,510638,890610
287000,515402,575780,891095
288000,518261,526921,935395
289000,516080,550749,902518
290000,511541,693370,901093
291000,511821,774958,918992
292000,516812,716468,862095
293000,514419,524515,1010161
294000,514337,500839,1221949
295000,537315,554122,1291317
296000,520903,515844,900223
297000,520014,509785,853732
298000,517355,512041,957821
299000,521407,512071,873707
300000,516644,510421,872511
301000,515425,510184,870816
302000,515582,514740,874069
303000,515491,510547,870256
304000,513736,511527,901516
305000,546370,539200,874376
306000,517481,513384,872607
307000,519957,511677,889429
308000,514595,513212,848526
309000,490866,518803,844155
310000,499918,513917,905759
311000,484590,510860,890892
312000,481534,512170,878509
313000,491303,508695,846483
314000,579592,541889,845915
315000,857783,516847,878007
316000,732750,514630,888717
317000,726712,516063,848676
318000,519191,511880,846207
319000,484923,513509,846490
320000,484101,510501,887201
321000,546710,509441,898672
322000,518552,509173,921105
323000,514202,507838,848485
324000,512676,534746,848673
325000,512114,517194,889036
326000,484839,509472,845439
327000,482253,510071,907278
328000,481890,514685,871495
329000,483176,508009,878207
330000,479874,509098,894458
331000,515170,512149,1195004
332000,519189,510646,1608822
333000,515114,515151,997638
334000,514180,540356,852531
335000,514712,513679,846851
336000,511045,513566,846543
337000,517773,511398,937416
338000,513981,511853,850242
339000,512780,510573,870367
340000,512456,522096,860616
341000,538377,512271,846144
342000,516840,509730,849523
343000,514431,541840,902015
344000,513850,518845,875047
345000,518397,512319,875262
346000,513439,510695,914142
347000,511505,489961,846663
348000,512940,506153,844504
349000,510964,493881,900221
350000,513636,483672,871526
351000,539055,489591,874348
352000,514295,568474,869401
353000,520243,902581,869416
354000,513128,845915,898281
355000,513944,822694,874329
356000,513448,497057,891086
